Case Nbr,Location,Date and Time Reported,Date and Time of Occurrence,Synopsis,Disposition,Crime
200788,Carpenter/Wells Complex,12/04/2020 1255 hours,Between11/24/2020 120011/30/2020 0900,"An officer investigated theft, which occurred at the bicycle racks at Carpenter/Wells Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
200787,Flint Avenue Parking Garage,12/03/2020 2354 hours,12/03/2020 2354 hours,"An officer released  a non-student, pending the filing of charges, for possession of marijuana, which occurred in the Flint Avenue Parking Garage. The non-student was also issued a Lubbock County citation for possession of drug paraphernalia. The non-student signed the citation and was released.",Cleared By Arrest,Possession of drug paraphernalia
200786,Jones AT&T Stadium (Football),12/03/2020 1908 hours,Between12/03/2020 110012/03/2020 1715,"An officer investigated theft and credit card abuse, which occurred at Jones AT&T Stadium. A wallet and credit card were stolen.",Open Inactive,General theft
200785,Off Campus,12/02/2020 0920 hours,Between12/01/2020 150012/02/2020 0850,"An officer investigated burglary of a building, which occurred at the Plant and Soil Sciences farm. A secured lawnmower was stolen.",Open Inactive,Building burglary
200784,Weymouth Res. Hall,12/01/2020 2241 hours,12/01/2020 2241 hours,"An officer released  a student, pending the filing of charges, for possession of marijuana, which occurred in Weymouth Residence Hall. The student was also issued a  Lubbock County citation for possession of drug paraphernalia, which the  student signed and was released.",Cleared By Arrest,Possession of drug paraphernalia
200783,Murray Res. Hall,12/01/2020 1747 hours,Between11/30/2020 170012/01/2020 1500,"An officer investigated a theft, which occurred at the bicycle racks at Murray Residence Hall. An unsecured bike and U-bolt lock were stolen.",Open Inactive,Bike theft
200782,Murray Res. Hall,12/01/2020 1515 hours,Between11/20/2020 160011/30/2020 0900,"An officer investigated a theft, which occurred at the bicycle racks at Murray Residence Hall. A secured bicycle, lock and helmet were stolen.",Open Active,Bike theft
200780,University Avenue,12/01/2020 0632 hours,12/01/2020 0632 hours,"An officer arrested  a non-student for public intoxication, which occurred in the 400 block of University Avenue. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Public intoxication
200779,Gates Res. Hall,11/30/2020 0010 hours,11/30/2020 0010 hours,"An officer issued a  student a Lubbock County citation for possession of drug paraphernalia,  which occurred in Gates Residence Hall. The student signed the citation  and was released.",Cleared By Arrest,Possession of drug paraphernalia
200778,Clement Res. Hall,11/29/2020 2104 hours,11/29/2020 2104 hours,"An officer issued a  non-student a criminal trespass warning for all Texas Tech property, which occurred at Clement Residence Hall.",Incident Report - Case Closed,Criminal trespass
200777,Murray Res. Hall,11/28/2020 1157 hours,Between11/25/2020 120011/28/2020 1150,"An officer investigated theft, which occurred at the south bike racks at Murray Residence Hall. A secured bicycle was stolen. [11/30/2020] Surveillance video of an unidentified suspect was located. There is currently insufficient information to identify the suspect.",Open Inactive,Bike theft
200776,Bledsoe Res. Hall,11/25/2020 1602 hours,11/25/2020 1108 hours,"An officer investigated theft, which occurred at the bicycle racks at Bledsoe Residence Hall. A secured bicycle was stolen. [11/30/2020] Surveillance  video of an unidentified suspect was located. There is currently insufficient information to identify the suspect.",Open Inactive,Bike theft
200775,Z7A Parking Lot,11/23/2020 1545 hours,11/23/2020 1545 hours,An officer documented information in reference to a student possessing a firearm on campus.,Incident Report - Case Closed,Posession of firearm on campus
200774,Gordon Res. Hall,11/23/2020 1513 hours,Between11/05/2020 210011/23/2020 1510,"An officer investigated theft, which occurred at the south bike racks of Gordon Residence Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
200773,Cotton Classing Laboratory,11/23/2020 0948 hours,Between11/22/2020 030011/22/2020 0330,"An officer investigated theft, which occurred at the Texas Tech Cotton Classing Laboratory. Two Conex containers were broken into. [12/8/2020] This report has been changed from a theft to a criminal mischief, effective 12/08/2020. The owners of the property have not returned calls regarding  whether they were missing any property. [12/8/2020] This case will be for criminal mischief and theft. Property was reported stolen from one of the containers.",Open Inactive,Criminal mischief
200772,Z3K Parking Lot,11/22/2020 0011 hours,11/22/2020 0011 hours,"An officer arrested  a student for possession of substance in penalty group 2 (THC Oil), possession of marijuana, and possession of drug paraphernalia, which occurred in the Z3K parking lot. The student was transported to the Lubbock County Jail. A second student was issued a Lubbock County citation for possession of a fictitious license. The student signed the citation and was released.",Cleared By Arrest,Fictitious license
200771,Chitwood Res. Hall,11/21/2020 1231 hours,Between08/15/2020 093011/21/2020 1140,"An officer investigated theft, which occurred at the south-west bike racks of Chitwood Hall. A secured bicycle was stolen.",Open Inactive,Bike theft
200770,Carpenter/Wells Complex,11/21/2020 0210 hours,11/21/2020 0210 hours,"An officer documented information in reference to a welfare check on a student, which occurred at Carpenter Wells Residence Hall. A student voluntarily  was transported to Sunrise Canyon for suicidal ideations. See incident  report # 200770.",Incident Report - Case Closed,Welfare check
200769,Flint Avenue Parking Garage,11/20/2020 1945 hours,11/20/2020 1945 hours,"An officer arrested  a student for possession of marijuana and possession of substance in penalty group 1-A (LSD), which occurred in the Flint Avenue Parking Garage. The student was issued a Lubbock County citation for possession of drug paraphernalia and was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
200768,Knapp Res. Hall,11/20/2020 1408 hours,Between11/17/2020 014511/17/2020 0430,"An officer investigated assault domestic violence, which occurred at Knapp Residence Hall. A student was assaulted by another student. [5/11/2021] This case was presented to the Lubbock County District Attorney's Office.",Cleared By Case Presentment,Assault
200767,Bledsoe Res. Hall,11/20/2020 1330 hours,11/20/2020 1330 hours,"An officer investigated theft, which occurred at Bledsoe Residence Hall. A secured bicycle was stolen.",Open Active,Bike theft
200766,Z4R Parking Lot,11/20/2020 1215 hours,11/20/2020 1215 hours,"An officer investigated criminal mischief, which occurred in the Z4R parking lot. A vehicle was damaged.",Open Inactive,Criminal mischief
200765,Gates Res. Hall,11/20/2020 1045 hours,Between10/02/2020 230110/04/2020 2259,"An officer investigated a sexual assault, which occurred at Gates Residence Hall in October.",Open Active,Assault
200764,Student Union Building,11/20/2020 0900 hours,11/20/2020 0900 hours,"An officer arrested  a non-student for an outstanding Lubbock County capias warrant, which occurred at the Student Union Building. The non-student was issued a criminal trespass warning for all Texas Tech University property. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Criminal trespass
200763,R7 Parking Lot,11/19/2020 0059 hours,11/19/2020 0059 hours,"An officer documented information in reference to damaged property, which occurred in the R-7 parking lot. A sign was damaged.",Incident Report - Case Closed,General Damaged Property
200762,Murray Res. Hall,11/18/2020 1859 hours,Between10/25/2020 140011/18/2020 0900,"An officer investigated theft, which occurred at Murray Hall. A secured bicycle and lock were taken.",Open Inactive,Bike theft
200762,Murray Res. Hall,11/18/2020 1859 hours,Between10/25/2020 130011/18/2020 0900,"An officer investigated theft, which occurred at the bicycle racks at Murray Residence Hall. A secured bicycle and lock were stolen.",Open Inactive,Bike theft
200761,Bledsoe Res. Hall,11/18/2020 1532 hours,Between11/17/2020 150011/18/2020 1300,"An officer investigated theft, which occurred at Bledsoe Hall. A secured bicycle and lock were taken.",Open Inactive,Bike theft
200758,4th Street,11/18/2020 0356 hours,11/18/2020 0356 hours,"An officer arrested  a non-student for possession of substance in penalty group 1 (cocaine),  possession of substance in penalty group 3 (clonazepam), possession of drug paraphernalia and two outstanding Lubbock County warrants, which occurred at 4th Street and Indiana Avenue. The non-student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
200757,Off Campus,11/18/2020 0018 hours,11/18/2020 0018 hours,"An officer arrested  a student for possession of marijuana, which occurred in the 2800 block  of Marsha Sharp Freeway. The vehicle was towed by Lubbock Wrecker Services. The student was transported to the Lubbock County Jail.",Cleared By Arrest,Possession of drug paraphernalia
200756,Equestrian Center,11/17/2020 1642 hours,11/17/2020 1642 hours,"An officer completed an emergency detention on a non-student, which occurred at the  Equestrian Center. The non-student was transported to Sunrise Canyon and issued a criminal trespass warning for all Texas Tech University property.",Incident Report - Case Closed,Emergency detention
200755,Z4M Parking Lot,11/15/2020 0112 hours,11/15/2020 0112 hours,"An officer released  a student pending the filing of charges for possession of marijuana, which occurred in the Z4-M parking lot. The student was also issued a Lubbock county citation for possession of drug paraphernalia. The student signed the citation and was released. See offense report #200755.",Cleared By Arrest,Possession of drug paraphernalia
200754,Z5B Parking Lot,11/14/2020 2357 hours,11/14/2020 2357 hours,"An officer issued a  student a Lubbock County citation for possession of alcohol by a minor and fictitious license, which occurred in the Z5-B parking lot. The student signed the citation and was released. See offense report #200754.",Cleared By Arrest,Consumption of alcohol by a minor
200753,Flint Avenue Parking Garage,11/14/2020 2021 hours,11/14/2020 2021 hours,"An officer released  a student pending the filing of charges for possession of marijuana and  tampering with evidence, which occurred at the Flint Avenue Parking Garage. A second student was released pending the filing of charges for possession of more than one valid driver license.",Cleared By Case Presentment,Possession of drug paraphernalia
